##################################################
         Track rate for each run number           
##################################################
runnum :312440 , # of tracks :1169      , track rates :2.32      
runnum :312535 , # of tracks :94452     , track rates :2.45      
runnum :314850 , # of tracks :898       , track rates :0.21      
runnum :311651 , # of tracks :46175     , track rates :2.19      
runnum :312096 , # of tracks :1277      , track rates :2.49      
runnum :313125 , # of tracks :8880      , track rates :2.72      
runnum :308394 , # of tracks :999       , track rates :1.34      
runnum :312150 , # of tracks :55        , track rates :3.20      
runnum :312081 , # of tracks :1258      , track rates :2.32      
runnum :311580 , # of tracks :1507      , track rates :0.14      
runnum :309171 , # of tracks :13763     , track rates :2.38      
runnum :311994 , # of tracks :3300      , track rates :2.41      
runnum :311085 , # of tracks :5710      , track rates :2.32      
runnum :312174 , # of tracks :3016      , track rates :2.26      
runnum :311094 , # of tracks :84221     , track rates :2.28      
runnum :311450 , # of tracks :87030     , track rates :2.16      
runnum :311189 , # of tracks :1277      , track rates :2.39      
runnum :314778 , # of tracks :1794      , track rates :2.49      
runnum :311045 , # of tracks :700       , track rates :2.31      
runnum :311088 , # of tracks :6936      , track rates :2.37      
runnum :311013 , # of tracks :5276      , track rates :2.39      
runnum :312534 , # of tracks :3634      , track rates :2.47      
runnum :311662 , # of tracks :4236      , track rates :2.08      
runnum :311688 , # of tracks :3247      , track rates :2.47      
runnum :311326 , # of tracks :14670     , track rates :2.25      
runnum :312701 , # of tracks :11224     , track rates :2.56      
runnum :312847 , # of tracks :1304      , track rates :2.35      
runnum :312220 , # of tracks :94657     , track rates :2.47      
runnum :312099 , # of tracks :4314      , track rates :2.41      
runnum :311033 , # of tracks :5298      , track rates :2.25      
runnum :312227 , # of tracks :7270      , track rates :2.52      
runnum :313052 , # of tracks :9720      , track rates :2.48      
runnum :313105 , # of tracks :111670    , track rates :2.68      
runnum :309247 , # of tracks :79427     , track rates :2.31      
runnum :315089 , # of tracks :4         , track rates :0.00      
runnum :312105 , # of tracks :248824    , track rates :2.43      
runnum :312538 , # of tracks :6533      , track rates :2.49      
runnum :312725 , # of tracks :67144     , track rates :2.62      
runnum :312848 , # of tracks :4273      , track rates :2.50      
runnum :314539 , # of tracks :2         , track rates :0.00      
runnum :312434 , # of tracks :13198     , track rates :2.49      
runnum :311884 , # of tracks :4106      , track rates :2.40      
runnum :309246 , # of tracks :9555      , track rates :2.36      
runnum :314324 , # of tracks :5336      , track rates :2.53      
runnum :312092 , # of tracks :9057      , track rates :2.50      
runnum :311368 , # of tracks :15960     , track rates :2.09      
runnum :311377 , # of tracks :235       , track rates :2.45      
runnum :312144 , # of tracks :15796     , track rates :2.24      
runnum :311533 , # of tracks :4029      , track rates :2.28      
runnum :311669 , # of tracks :12215     , track rates :2.22      
runnum :311577 , # of tracks :49        , track rates :0.12      
runnum :314587 , # of tracks :12228     , track rates :2.51      
runnum :314325 , # of tracks :4335      , track rates :1.92      
runnum :310912 , # of tracks :1982      , track rates :2.28      
runnum :315174 , # of tracks :7288      , track rates :1.89      
runnum :310958 , # of tracks :14        , track rates :0.01      
runnum :311949 , # of tracks :4922      , track rates :2.30      
runnum :311469 , # of tracks :4430      , track rates :2.00      
runnum :312730 , # of tracks :220       , track rates :0.17      
runnum :312654 , # of tracks :102413    , track rates :2.49      
runnum :308406 , # of tracks :2271      , track rates :2.31      
runnum :312464 , # of tracks :1320      , track rates :2.29      
runnum :311091 , # of tracks :1097      , track rates :2.51      
runnum :311787 , # of tracks :4189      , track rates :2.38      
runnum :312003 , # of tracks :505       , track rates :0.32      
runnum :312727 , # of tracks :103221    , track rates :2.45      
runnum :311883 , # of tracks :8898      , track rates :2.33      
runnum :315210 , # of tracks :5260      , track rates :2.15      
runnum :312098 , # of tracks :7261      , track rates :2.39      
runnum :311727 , # of tracks :911       , track rates :2.44      
runnum :312452 , # of tracks :1560      , track rates :2.28      
runnum :314812 , # of tracks :1148      , track rates :0.45      
runnum :311799 , # of tracks :4142      , track rates :2.36      
runnum :313123 , # of tracks :572       , track rates :1.44      
runnum :311974 , # of tracks :1073      , track rates :1.88      
runnum :312421 , # of tracks :2626      , track rates :2.51      
runnum :315206 , # of tracks :4180      , track rates :2.30      
runnum :312142 , # of tracks :705       , track rates :2.37      
runnum :312728 , # of tracks :8006      , track rates :2.42      
runnum :312218 , # of tracks :455       , track rates :2.34      
runnum :314632 , # of tracks :98        , track rates :0.28      
runnum :312228 , # of tracks :534       , track rates :2.86      
runnum :311881 , # of tracks :1480      , track rates :2.56      
runnum :311296 , # of tracks :5039      , track rates :2.29      
runnum :314854 , # of tracks :8276      , track rates :0.80      
runnum :312060 , # of tracks :895       , track rates :2.23      
runnum :314766 , # of tracks :439       , track rates :0.28      
runnum :311024 , # of tracks :88279     , track rates :2.31      
runnum :313916 , # of tracks :24776     , track rates :2.56      
runnum :309232 , # of tracks :9632      , track rates :2.34      
runnum :314607 , # of tracks :22591     , track rates :2.46      
runnum :311793 , # of tracks :1         , track rates :1.71      
runnum :312176 , # of tracks :560       , track rates :2.76      
runnum :315182 , # of tracks :2673      , track rates :1.54      
runnum :312301 , # of tracks :98154     , track rates :2.45      
runnum :314767 , # of tracks :57        , track rates :0.28      
runnum :311993 , # of tracks :4066      , track rates :2.35      
runnum :311535 , # of tracks :3506      , track rates :2.33      
runnum :312428 , # of tracks :1083      , track rates :2.62      
runnum :311668 , # of tracks :19098     , track rates :2.21      
runnum :313097 , # of tracks :1011      , track rates :2.91      
runnum :311058 , # of tracks :17628     , track rates :2.33      
runnum :312420 , # of tracks :464       , track rates :2.64      
runnum :312433 , # of tracks :756       , track rates :2.42      
runnum :313108 , # of tracks :27302     , track rates :2.51      
runnum :312499 , # of tracks :1757      , track rates :2.16      
runnum :311995 , # of tracks :5810      , track rates :1.88      
runnum :313130 , # of tracks :99180     , track rates :2.66      
runnum :314538 , # of tracks :3         , track rates :0.08      
runnum :313181 , # of tracks :6747      , track rates :2.33      
runnum :312073 , # of tracks :940       , track rates :2.21      
runnum :312670 , # of tracks :1355      , track rates :2.48      
runnum :314881 , # of tracks :3668      , track rates :2.22      
runnum :312094 , # of tracks :4561      , track rates :2.54      
runnum :312100 , # of tracks :22285     , track rates :2.41      
runnum :310928 , # of tracks :7         , track rates :0.01      
runnum :312023 , # of tracks :412       , track rates :0.16      
runnum :312300 , # of tracks :3676      , track rates :2.44      
runnum :311036 , # of tracks :23130     , track rates :2.32      
runnum :311516 , # of tracks :33158     , track rates :2.30      
runnum :308404 , # of tracks :2354      , track rates :2.32      
runnum :312689 , # of tracks :7572      , track rates :2.33      
runnum :313127 , # of tracks :28641     , track rates :1.85      
runnum :311195 , # of tracks :1341      , track rates :2.40      
runnum :312718 , # of tracks :9890      , track rates :2.69      
runnum :311515 , # of tracks :496       , track rates :2.13      
runnum :312231 , # of tracks :155       , track rates :0.42      
runnum :312018 , # of tracks :288       , track rates :0.19      
runnum :314580 , # of tracks :14104     , track rates :2.42      
runnum :314768 , # of tracks :8433      , track rates :2.30      
runnum :312668 , # of tracks :789       , track rates :1.11      
runnum :311614 , # of tracks :13752     , track rates :2.27      
runnum :312449 , # of tracks :2478      , track rates :2.34      
runnum :311135 , # of tracks :3914      , track rates :2.38      
runnum :311995 , # of tracks :1426      , track rates :0.47      
runnum :312520 , # of tracks :722       , track rates :0.39      
runnum :313098 , # of tracks :30022     , track rates :2.76      
runnum :311728 , # of tracks :308       , track rates :2.74      
runnum :313106 , # of tracks :2274      , track rates :2.54      
runnum :310993 , # of tracks :7657      , track rates :2.34      
runnum :312647 , # of tracks :1803      , track rates :2.68      
runnum :311665 , # of tracks :4102      , track rates :2.24      
runnum :313664 , # of tracks :7220      , track rates :2.58      
runnum :311096 , # of tracks :1413      , track rates :2.27      
runnum :312091 , # of tracks :828       , track rates :2.36      
runnum :311683 , # of tracks :0         , track rates :0.00      
runnum :312097 , # of tracks :4764      , track rates :2.45      
runnum :312217 , # of tracks :1937      , track rates :2.45      
runnum :310909 , # of tracks :880       , track rates :2.34      
runnum :311374 , # of tracks :57966     , track rates :2.04      
runnum :315194 , # of tracks :749       , track rates :0.22      
runnum :311032 , # of tracks :578       , track rates :0.44      
runnum :311798 , # of tracks :1705      , track rates :2.14      
runnum :314773 , # of tracks :6144      , track rates :2.24      
runnum :311880 , # of tracks :1755      , track rates :2.55      
runnum :311447 , # of tracks :3304      , track rates :2.08      
runnum :311483 , # of tracks :41558     , track rates :1.99      
runnum :312537 , # of tracks :2048      , track rates :2.52      
runnum :311098 , # of tracks :6539      , track rates :2.33      
runnum :313124 , # of tracks :33        , track rates :0.62      
runnum :312851 , # of tracks :81443     , track rates :2.41      
runnum :311518 , # of tracks :82960     , track rates :2.32      
runnum :312135 , # of tracks :26128     , track rates :2.40      
runnum :312453 , # of tracks :5066      , track rates :2.29      
runnum :311532 , # of tracks :102768    , track rates :2.37      
runnum :311790 , # of tracks :78867     , track rates :2.40      
runnum :311702 , # of tracks :1920      , track rates :1.29      
runnum :313120 , # of tracks :9606      , track rates :2.68      
runnum :311407 , # of tracks :16294     , track rates :2.12      
runnum :311791 , # of tracks :2620      , track rates :2.25      
runnum :311375 , # of tracks :2193      , track rates :2.08      
runnum :312202 , # of tracks :6533      , track rates :2.45      
runnum :311282 , # of tracks :263       , track rates :2.29      
runnum :311320 , # of tracks :369       , track rates :2.78      
runnum :311511 , # of tracks :8175      , track rates :2.35      
runnum :312671 , # of tracks :355       , track rates :1.09      
runnum :313118 , # of tracks :8936      , track rates :2.71      
runnum :311943 , # of tracks :4285      , track rates :2.27      
runnum :312845 , # of tracks :1         , track rates :0.02      
runnum :312673 , # of tracks :8716      , track rates :2.48      
runnum :311814 , # of tracks :1029      , track rates :0.15      
runnum :315534 , # of tracks :2458      , track rates :1.12      
runnum :315492 , # of tracks :1972      , track rates :2.52      
runnum :315547 , # of tracks :4058      , track rates :2.32      
runnum :315537 , # of tracks :1         , track rates :0.00      
runnum :315546 , # of tracks :13005     , track rates :2.49      
runnum :315260 , # of tracks :3900      , track rates :1.99      
runnum :315530 , # of tracks :1987      , track rates :2.46      
runnum :315626 , # of tracks :1442      , track rates :1.87      
runnum :315359 , # of tracks :1762      , track rates :0.83      
runnum :316562 , # of tracks :2793      , track rates :1.40      
runnum :316285 , # of tracks :249       , track rates :0.37      
runnum :316284 , # of tracks :1796      , track rates :2.10      
runnum :316519 , # of tracks :3181      , track rates :2.26      
runnum :316274 , # of tracks :139       , track rates :0.49      
runnum :316273 , # of tracks :686       , track rates :2.57      
runnum :316547 , # of tracks :249       , track rates :2.44      
runnum :316474 , # of tracks :90        , track rates :3.10      
runnum :316459 , # of tracks :244       , track rates :0.60      
runnum :316458 , # of tracks :3985      , track rates :2.46      
