295663,3955,3.811202
295789,1787,3.811202
294899,3064,3.811202
295387,6911,3.811202
295816,5,3.811202
295795,1856,3.811202
295728,71,3.811202
295003,4147,3.811202
295915,1761,3.811202
295776,6104,3.811202
295718,75,3.811202
295308,46222,3.811202
295778,123875,3.811202
295801,837,3.811202
295829,4381,3.811202
295716,54,3.811202
295727,70,3.811202
295689,1,3.811202
295821,2697,3.811202
295002,136,3.811202
295717,69,3.811202
295725,69,3.811202
295668,146,3.811202
294898,74,3.811202
295661,12185,3.811202
294696,13143,3.811202
295715,65,3.811202
295118,1014,3.811202
295780,8608,3.811202
295902,19638,3.811202
295819,1820,3.811202
296023,1811,3.811202
295818,1,3.811202
295690,800,3.811202
295779,9301,3.811202
295660,1007,3.811202
295913,5970,3.811202
295804,1294,3.811202
295671,87,3.811202
295832,148,3.811202
295822,6517,3.811202
295662,712,3.811202
295117,3778,3.811202
295701,3214,3.811202
295721,77,3.811202
295774,3444,3.811202
295839,16091,3.811202
295780,719,3.811202
295304,3,3.811202
295659,5031,3.811202
295901,4547,3.811202
295838,1181,3.811202
295815,12,3.811202
295907,2133,3.811202
295723,63,3.811202
295726,54,3.811202
295713,617,3.811202
295729,57,3.811202
295823,767,3.811202
294895,2,3.811202
295766,27263,3.811202
295814,839,3.811202
295877,5616,3.811202
296064,3080,3.811202
