##################################################
         Track rate for each run number           
##################################################
runnum :292048 , # of tracks :2227      , track rates :2.85      
runnum :292538 , # of tracks :298       , track rates :2.81      
runnum :291615 , # of tracks :2626      , track rates :2.62      
runnum :291840 , # of tracks :33536     , track rates :2.51      
runnum :290198 , # of tracks :59578     , track rates :1.75      
runnum :291672 , # of tracks :9887      , track rates :2.80      
runnum :292458 , # of tracks :138       , track rates :3.33      
runnum :292081 , # of tracks :7461      , track rates :2.71      
runnum :292274 , # of tracks :5267      , track rates :2.54      
runnum :292068 , # of tracks :3015      , track rates :2.78      
runnum :292365 , # of tracks :14763     , track rates :2.80      
runnum :292249 , # of tracks :20795     , track rates :2.47      
runnum :292490 , # of tracks :3768      , track rates :2.68      
runnum :292256 , # of tracks :8261      , track rates :2.55      
runnum :290824 , # of tracks :5960      , track rates :2.55      
runnum :292525 , # of tracks :73        , track rates :0.18      
runnum :292357 , # of tracks :6446      , track rates :2.59      
runnum :291895 , # of tracks :7722      , track rates :2.51      
runnum :291244 , # of tracks :3236      , track rates :2.51      
runnum :291781 , # of tracks :59629     , track rates :1.64      
runnum :290891 , # of tracks :2702      , track rates :2.46      
runnum :291257 , # of tracks :289       , track rates :2.60      
runnum :291504 , # of tracks :58577     , track rates :1.51      
runnum :292276 , # of tracks :8545      , track rates :2.54      
runnum :291500 , # of tracks :1568      , track rates :2.78      
runnum :291381 , # of tracks :13354     , track rates :2.71      
runnum :292198 , # of tracks :8522      , track rates :2.46      
runnum :292404 , # of tracks :337       , track rates :2.46      
runnum :292723 , # of tracks :1331      , track rates :0.18      
runnum :291887 , # of tracks :227       , track rates :0.32      
runnum :291342 , # of tracks :1799      , track rates :2.66      
runnum :292160 , # of tracks :4626      , track rates :2.72      
runnum :291882 , # of tracks :5         , track rates :1.65      
runnum :290141 , # of tracks :1484      , track rates :1.82      
runnum :292245 , # of tracks :653       , track rates :2.67      
runnum :291346 , # of tracks :2378      , track rates :2.59      
runnum :291349 , # of tracks :4664      , track rates :2.50      
runnum :292594 , # of tracks :32059     , track rates :2.69      
runnum :292604 , # of tracks :1586      , track rates :2.26      
runnum :290357 , # of tracks :5960      , track rates :2.46      
runnum :292521 , # of tracks :77        , track rates :0.21      
runnum :292024 , # of tracks :3         , track rates :0.12      
runnum :291621 , # of tracks :41361     , track rates :2.73      
runnum :290508 , # of tracks :2728      , track rates :2.49      
runnum :291844 , # of tracks :958       , track rates :2.63      
runnum :290914 , # of tracks :14859     , track rates :2.43      
runnum :292269 , # of tracks :58790     , track rates :1.50      
runnum :291873 , # of tracks :2950      , track rates :2.70      
runnum :292238 , # of tracks :965       , track rates :2.82      
runnum :290801 , # of tracks :34963     , track rates :2.51      
runnum :291858 , # of tracks :35382     , track rates :2.62      
runnum :292623 , # of tracks :1083      , track rates :1.13      
runnum :292363 , # of tracks :58396     , track rates :2.65      
runnum :292078 , # of tracks :1582      , track rates :2.44      
runnum :291927 , # of tracks :14622     , track rates :2.54      
runnum :291318 , # of tracks :468       , track rates :2.74      
runnum :290716 , # of tracks :14481     , track rates :2.49      
runnum :290135 , # of tracks :2510      , track rates :2.48      
runnum :290806 , # of tracks :5372      , track rates :2.36      
runnum :292155 , # of tracks :3069      , track rates :2.64      
runnum :291879 , # of tracks :25641     , track rates :2.36      
runnum :292455 , # of tracks :155       , track rates :2.68      
runnum :291960 , # of tracks :14        , track rates :5.35      
runnum :290133 , # of tracks :2596      , track rates :2.55      
runnum :290193 , # of tracks :352       , track rates :3.02      
runnum :292359 , # of tracks :12063     , track rates :2.59      
runnum :291939 , # of tracks :920       , track rates :2.35      
runnum :291221 , # of tracks :38045     , track rates :2.49      
runnum :291503 , # of tracks :9470      , track rates :2.76      
runnum :292504 , # of tracks :63        , track rates :0.23      
runnum :290963 , # of tracks :11924     , track rates :2.48      
runnum :292447 , # of tracks :3361      , track rates :2.59      
runnum :292289 , # of tracks :235       , track rates :2.55      
runnum :292584 , # of tracks :1837      , track rates :2.82      
runnum :292485 , # of tracks :9299      , track rates :2.73      
runnum :291502 , # of tracks :3588      , track rates :2.73      
runnum :292486 , # of tracks :370       , track rates :2.60      
runnum :292282 , # of tracks :1754      , track rates :2.68      
runnum :291504 , # of tracks :57717     , track rates :1.96      
runnum :292460 , # of tracks :122       , track rates :3.65      
runnum :292255 , # of tracks :29082     , track rates :2.50      
runnum :291842 , # of tracks :752       , track rates :2.64      
runnum :292452 , # of tracks :14898     , track rates :2.56      
runnum :293103 , # of tracks :4485      , track rates :2.54      
runnum :292470 , # of tracks :64        , track rates :5.50      
runnum :292232 , # of tracks :2684      , track rates :2.65      
runnum :291252 , # of tracks :13374     , track rates :2.48      
runnum :292367 , # of tracks :3938      , track rates :2.62      
runnum :292317 , # of tracks :534       , track rates :2.70      
runnum :292591 , # of tracks :5012      , track rates :2.69      
runnum :290617 , # of tracks :60449     , track rates :2.05      
runnum :290968 , # of tracks :14525     , track rates :2.45      
runnum :292051 , # of tracks :4899      , track rates :2.81      
